Test_Number,Dataset,Test_Name,Test_Category,Statistic,Value,Threshold,Pass_Fail,Interpretation
1,Rabani2014,Bootstrap 95% CI,Uncertainty quantification,CI range,[-0.100 0.354],CI must exclude zero,FAIL,CI includes zero - correlation not statistically robust
2,Rabani2014,Permutation test (10000 permutations),Significance testing,p-value,0.240,p < 0.05,FAIL,Not significant under permutation null
3,Rabani2014,Exclude explosive eigenvalues,Explosive dynamics check,rho after exclusion,-0.040,rho should remain significant,FAIL,Correlation eliminated after removing |lambda|>1 genes (75/453 explosive)
4,Rabani2014,Time-shuffle destruction,Temporal structure validation,destruction ratio,0.99,ratio < 0.5,FAIL,Eigenvalues survive time-shuffling; fits capture static properties not temporal dynamics
5,Rabani2014,High R-squared subset (R2>0.5),Model quality filter,rho in subset,0.46,informational,NOTE,Elevated rho but n=54 only; underpowered
6,Amit2009,Bootstrap 95% CI,Uncertainty quantification,CI range,[0.011 0.294],CI must exclude zero,MARGINAL,CI barely excludes zero (lower bound 0.011)
7,Amit2009,Permutation test (10000 permutations),Significance testing,p-value,0.034,p < 0.05,MARGINAL,Marginally significant
8,Amit2009,Exclude explosive eigenvalues,Explosive dynamics check,rho after exclusion,substantially reduced,rho should remain significant,FAIL,Correlation driven by explosive dynamics
9,GSE221103,Partial correlation controlling expression,Expression confound check,partial rho,0.045,partial rho should remain significant,FAIL,rho drops from 0.203 to 0.045 after controlling for expression level
10,GSE221103,Permutation test (10000 permutations),Significance testing,p-value,0.007,p < 0.05,PASS,Significant but small effect size (rho=0.203)
11,GSE221103,Expression confound analysis,Confound identification,explanation,Housekeeping genes drive apparent correlation,no systematic confound,FAIL,Highly-expressed genes have both long half-lives and stable AR(2) fits creating spurious correlation
12,All_new,Weighted mean rho across 7 datasets,Combined effect size,weighted rho,0.0115,informational,PASS,Near-zero combined effect across 22989 genes; dominated by large well-powered datasets
13,All_new,Sample size adequacy,Statistical power,n for 80% power at rho=0.1,388,n >= 388,FAIL,New datasets have 85-190 matched genes; all underpowered (need n>=388)
14,All_new,Timepoint adequacy,AR(2) model validity,minimum timepoints,7-14,>= 24 recommended,FAIL,7-14 timepoints vs 48 in primary dataset; AR(2) requires minimum 5 residuals
15,All_new,Half-life source mismatch,External validity,cell type match,Mouse ESC to dendritic/neuroblastoma,same cell type preferred,CONCERN,Sharova half-lives from mouse ESCs applied to dendritic cells and human neuroblastoma; half-lives can vary 2-3x across cell types
16,All_new,Gene selection bias,Sampling bias,unique half-life values,21,broad distribution preferred,CONCERN,Only 21 unique half-life values across 85 genes; biased toward well-studied genes
17,All_tissues,Decomposition stability (DSI),Decomposition robustness,mean DSI,0.527,DSI > 0.5,PASS,Hierarchy remains robust to global driver removal in tissues with moderate initial gaps
18,Simulations,Hierarchy recovery,Simulation benchmark,recovery rate,4/4,all pass,PASS,Simulated hierarchies correctly recovered without inducing false hierarchies
